id,name,faction,type,rarity,cost,eclipse_shift,sigil,rules_text,flavor,design_role,set
VR-001,Corte Rubro,Casa Vhal,Assalto,Comum,1,1,Presa,"Cause 2 de dano. Se você sacrificou Vitalidade nesta rodada, cause +1.",A elegância termina onde a fome começa.,pressão,1
VR-002,Dívida de Sangue,Casa Vhal,Rito,Comum,1,1,Coroa,"Sacrifique 2 de Vitalidade: compre 2 cartas, depois descarte 1.",Todo favor da Casa vence com juros.,seleção de mão,1
VR-003,Manto Hemático,Casa Vhal,Guarda,Comum,1,1,Presa,"Previna 3 de dano. Se prevenir todo o dano, cure 1.",O sangue derramado também pode ser muralha.,defesa/dreno,1
VR-004,Taça de Orivane,Casa Vhal,Relíquia,Rara,2,1,Coroa,"A primeira vez por rodada que você curar, desloque o Eclipse 1 passo para a Noite.",A taça nunca esvazia; apenas muda de dono.,motor,1
VR-005,Fome Educada,Casa Vhal,Assalto,Comum,2,1,Presa,Cause 3 de dano. Ressonância Presa→Coroa: cure 2.,"Sorrisos polidos, intenções antigas.",combo,1
VR-006,Convite Irrecusável,Casa Vhal,Rito,Incomum,2,1,Espelho,Olhe 2 cartas aleatórias da mão do oponente. Escolha uma: ela custa +1 até o fim da próxima rodada.,A porta estava aberta antes mesmo de você chegar.,disrupção,1
VR-007,Servo de Veludo,Casa Vhal,Manifestação,Incomum,2,1,Coroa,"Enquanto ativo, a primeira carta que exigir sacrifício de Vitalidade a cada rodada sacrifica 1 a menos.","Ele serve vinho, silêncio e álibis.",suporte,1
VR-008,Juramento da Cripta,Casa Vhal,Rito,Rara,3,1,Cinza,Recupere um Assalto do descarte. Perca Vitalidade igual ao custo dele.,Algumas promessas sobrevivem aos prometidos.,recursão,1
VR-009,Veia Aberta,Casa Vhal,Assalto,Incomum,2,1,Presa,Cause 2 de dano e aplique Sangramento 2.,"O golpe é curto; a consequência, paciente.",dano contínuo,1
VR-010,Salão sem Espelhos,Casa Vhal,Relíquia,Épica,3,1,Espelho,"Ritos adversários que olhariam ou revelariam sua mão falham. Uma vez por rodada, quando isso ocorrer, desloque 1 para Noite.","Na Casa Vhal, reflexos são considerados testemunhas.",anti-controle,1
VR-011,Noite de Herança,Casa Vhal,Rito,Épica,4,2,Coroa,"Só pode ser jogada com Eclipse em +2 ou mais. Compre 3; até o fim da rodada, seus Assaltos custam 1 a menos.",Os antigos não deixam bens. Deixam apetites.,explosão,1
VR-012,Soberania Carmesim,Casa Vhal,Assalto,Lendária,5,2,Presa,"Cause 5 de dano. Eclipse Noturno: em vez disso, cause 7 e cure 3. Limite de 1 por deck.",O trono reconhece apenas quem sobrevive ao banquete.,finalizador,1
VR-013,Golpe da Alvorada,Ordem Solara,Assalto,Comum,1,-1,Sol,"Cause 2 de dano. Se o Eclipse estiver em -2 ou menor, cause +1.",A manhã também sabe ferir.,pressão,1
VR-014,Égide de Lumen,Ordem Solara,Guarda,Comum,2,-1,Sol,Previna 3 de dano de um único Assalto.,A luz não precisa vencer; basta permanecer.,defesa,1
VR-015,Marca do Caçador,Ordem Solara,Rito,Comum,1,0,Coroa,"Aplique Exposto. O próximo dano que o alvo sofrer recebe +2, então remova Exposto.",Ninguém foge duas vezes do mesmo olhar.,setup,1
VR-016,Rosário de Ferro Branco,Ordem Solara,Relíquia,Incomum,2,-1,Sol,A primeira Maldição que receber em cada rodada dura 1 rodada a menos.,"Fé, aqui, é engenharia.",anti-maldição,1
VR-017,Passo entre Sombras,Ordem Solara,Guarda,Incomum,2,-1,Espelho,"Previna 2. Se o Assalto tinha bônus de Ressonância, previna +2.",Conhecer o truque é metade da defesa.,anti-combo,1
